Age,0.02,0.05,0.25,0.5,0.75,0.95,0.98
0,9.4895012,10.00658096,11.54001933,12.97398547,14.89225629,19.20550095,22.05450118
0.1,10.71603569,11.28351631,12.85098748,14.16800578,15.72655677,18.53247095,19.97499443
0.2,11.03139348,11.60931173,13.17662304,14.46045231,15.94109668,18.50419442,19.77254956
0.3,11.25958829,11.84495532,13.4126507,14.67517964,16.10730729,18.52717502,19.69770362
0.4,11.43608611,12.02692962,13.59381925,14.83935811,16.23477964,18.5515177,19.65415435
0.5,11.54300895,12.13649162,13.69768018,14.92560794,16.28774824,18.51840858,19.56695026
0.6,11.59547093,12.18964921,13.74195644,14.95209084,16.28355624,18.43980366,19.44329438
0.7,11.62641617,12.22094569,13.76493666,14.95943026,16.2646013,18.35864546,19.32516072
0.8,11.65095599,12.24604508,13.78336757,14.96476917,16.24789934,18.29020649,19.22624619
0.9,11.67576914,12.27177069,13.80418911,14.97482615,16.23954716,18.23858237,19.14923685
1,11.70617044,12.30350796,13.83277315,14.99473393,16.24414732,18.20683977,19.09616838
1.1,11.74235888,12.34129229,13.86859061,15.02336719,16.25973866,18.19121556,19.06223309
1.2,11.78037817,12.38083991,13.90642256,15.05468434,16.27926417,18.18273026,19.03742866
1.3,11.81624499,12.41785416,13.94110859,15.08279562,16.29596317,18.17303634,19.01258705
1.4,11.84679334,12.44889665,13.96847408,15.102919,16.30434192,18.15537236,18.98030268
1.5,11.87030435,12.47207783,13.98617066,15.11232733,16.30122691,18.12576056,18.93618464
1.6,11.89109145,12.49192911,13.99927037,15.1164782,16.29245695,18.09055091,18.88677345
1.7,11.91281579,12.51231494,14.0121395,15.12009391,16.28310546,18.05528824,18.83779108
1.8,11.93855934,12.53648248,14.02842764,15.12710428,16.27737328,18.02452574,18.79391792
1.9,11.97414296,12.57057008,14.05505524,15.14499011,16.28330723,18.00711673,18.76433782
2,12.02363249,12.61887229,14.09687306,15.17899318,16.30653627,18.00922465,18.75542596
2.1,12.0855765,12.67990064,14.15228754,15.22742637,16.34525603,18.02882117,18.76503515
2.2,12.15456707,12.74802928,14.21512297,15.28369902,16.39242823,18.05815484,18.78508501
2.3,12.22731192,12.81985203,14.28168419,15.3438949,16.44389412,18.09267084,18.81083388
2.4,12.3014264,12.8929075,14.34931371,15.4052046,16.49667534,18.12910994,18.83888811
2.5,12.37499045,12.96520939,14.41585526,15.46533956,16.54833601,18.16479106,18.86644934
2.6,12.44515752,13.03380064,14.47807442,15.52085699,16.59520913,18.19569128,18.88933104
2.7,12.50871768,13.09535674,14.53236201,15.56793667,16.63325009,18.21741508,18.90297837
2.8,12.56364799,13.14780536,14.57652278,15.6042909,16.66007074,18.22741171,18.90476439
2.9,12.60932047,13.19054413,14.6100164,15.62942138,16.67521195,18.22526979,18.89429366
3,12.64572234,13.22360747,14.63299086,15.64355437,16.6789759,18.21139346,18.87200975
3.1,12.67361708,13.24783051,14.64645264,15.64781483,16.67260394,18.18718507,18.83937971
3.2,12.69461135,13.26492283,14.65235756,15.64432981,16.65839297,18.15518099,18.79903835
3.3,12.71083788,13.27713537,14.65323828,15.63582742,16.63926489,18.11857696,18.75429438
3.4,12.72438484,13.28666526,14.65154979,15.62493997,16.61802674,18.08042484,18.7083
3.5,12.73690099,13.29524011,14.64920349,15.61370277,16.59683364,18.04304352,18.66343954
3.6,12.74895334,13.30345078,14.64684036,15.60278549,16.57637817,18.00714711,18.62043185
3.7,12.7605574,13.311309,14.64445579,15.59216537,16.55661326,17.97264184,18.57915902
3.8,12.7725204,13.31965232,14.64295421,15.58278855,16.5385223,17.94055605,18.54066505
3.9,12.78544434,13.32910305,14.64300114,15.57534584,16.52281711,17.91162351,18.50568981
4,12.79967644,13.34001682,14.64496687,15.570213,16.50987464,17.88621484,18.47459828
4.1,12.8154397,13.35262236,14.64908879,15.56762895,16.49993135,17.86455551,18.4476085
4.2,12.83332604,13.36753749,14.65604228,15.56830553,16.49373242,17.84743267,18.42552307
4.3,12.85403132,13.38548426,14.66660786,15.57306052,16.49212983,17.83574188,18.40925381
4.4,12.87805979,13.40698316,14.6813405,15.58246937,16.49571646,17.83009543,18.39941912
4.5,12.90536807,13.43198734,14.70018085,15.59646027,16.50440485,17.83037754,18.39588919
4.6,12.93529378,13.45980716,14.72236982,15.61422186,16.517328,17.83563507,18.39767239
4.7,12.96679188,13.48935735,14.74672217,15.63449549,16.53315057,17.84441657,18.40326628
4.8,12.99881394,13.51954982,14.77205131,15.65602258,16.55053901,17.85527539,18.41117464
4.9,13.03002371,13.54900125,14.79685817,15.67722006,16.56782342,17.86641152,18.41954088
5,13.05926621,13.57652319,14.81987141,15.69675615,16.58360914,17.87633571,18.42683435
5.1,13.08572936,13.60128284,14.84020624,15.71370756,16.59693242,17.88402251,18.43200236
5.2,13.10921855,13.62308648,14.857669,15.72787887,16.60759463,17.88926599,18.43483499
5.3,13.13020557,13.64243021,14.87281214,15.73986056,16.61622326,17.89274516,18.43603228
5.4,13.14993808,13.66061607,14.88706633,15.75117235,16.62442679,17.89619547,18.43738297
5.5,13.16915455,13.67841677,14.90128471,15.76272249,16.63316785,17.9006566,18.43995875
5.6,13.18808572,13.69607259,14.91572847,15.77478533,16.64273286,17.90643037,18.44406722
5.7,13.20666764,13.71351463,14.930315,15.78726715,16.65301568,17.91339053,18.44957289
5.8,13.22492916,13.73077188,14.94507201,15.80019338,16.6640384,17.92155247,18.45648769
5.9,13.2425801,13.7475444,14.95967459,15.81322032,16.67543731,17.93052171,18.46440345
