Age,Mu,Sigma,Lambda,Sex
17.44,22.24399866,0.073077337,0.871946504,Male
17.45,22.24985915,0.0730706,0.870672163,Male
17.46,22.25570681,0.073063865,0.869397857,Male
17.47,22.26154167,0.07305713,0.868123584,Male
17.48,22.26736375,0.073050398,0.866849345,Male
17.49,22.27317309,0.073043667,0.865575138,Male
17.5,22.27896972,0.073036937,0.864300961,Male
17.51,22.28475365,0.07303021,0.863026815,Male
17.52,22.29052493,0.073023483,0.861752697,Male
17.53,22.29628356,0.073016758,0.860478606,Male
17.54,22.30202959,0.073010035,0.859204543,Male
17.55,22.30776305,0.073003314,0.857930505,Male
17.56,22.31348395,0.072996593,0.856656492,Male
17.57,22.31919232,0.072989875,0.855382502,Male
17.58,22.3248882,0.072983158,0.854108535,Male
17.59,22.33057162,0.072976442,0.852834589,Male
17.6,22.33624261,0.072969729,0.851560664,Male
17.61,22.34190119,0.072963016,0.850286759,Male
17.62,22.3475474,0.072956305,0.849012872,Male
17.63,22.35318127,0.072949596,0.847739003,Male
17.64,22.35880283,0.072942888,0.84646515,Male
17.65,22.36441211,0.072936182,0.845191313,Male
17.66,22.37000915,0.072929478,0.843917491,Male
17.67,22.37559396,0.072922775,0.842643682,Male
17.68,22.38116658,0.072916073,0.841369887,Male
17.69,22.38672705,0.072909373,0.840096102,Male
17.7,22.39227538,0.072902675,0.838822329,Male
17.71,22.39781162,0.072895978,0.837548565,Male
17.72,22.40333579,0.072889282,0.836274811,Male
17.73,22.40884791,0.072882588,0.835001064,Male
17.74,22.41434803,0.072875896,0.833727324,Male
17.75,22.41983617,0.072869205,0.83245359,Male
17.76,22.42531237,0.072862516,0.83117986,Male
17.77,22.43077664,0.072855828,0.829906135,Male
17.78,22.43622902,0.072849142,0.828632413,Male
17.79,22.44166954,0.072842457,0.827358693,Male
17.8,22.44709823,0.072835774,0.826084974,Male
17.81,22.45251512,0.072829093,0.824811255,Male
17.82,22.45792023,0.072822412,0.823537536,Male
17.83,22.4633136,0.072815734,0.822263815,Male
17.84,22.46869524,0.072809057,0.820990091,Male
17.85,22.47406516,0.072802381,0.819716363,Male
17.86,22.47942336,0.072795707,0.81844263,Male
17.87,22.48476988,0.072789035,0.817168892,Male
17.88,22.49010473,0.072782364,0.815895147,Male
17.89,22.49542792,0.072775694,0.814621395,Male
17.9,22.50073945,0.072769026,0.813347634,Male
17.91,22.50603932,0.07276236,0.812073863,Male
17.92,22.51132752,0.072755695,0.810800081,Male
17.93,22.51660402,0.072749032,0.809526288,Male
17.94,22.52186881,0.07274237,0.808252482,Male
17.95,22.52712184,0.072735709,0.806978662,Male
17.96,22.53236308,0.07272905,0.805704828,Male
17.97,22.53759249,0.072722393,0.804430977,Male
17.98,22.54281003,0.072715737,0.803157109,Male
17.99,22.54801567,0.072709083,0.801883224,Male
18,22.55320937,0.07270243,0.800609319,Male
18.01,22.55839112,0.072695778,0.799335394,Male
18.02,22.56356092,0.072689129,0.798061448,Male
18.03,22.56871874,0.07268248,0.79678748,Male
18.04,22.57386459,0.072675833,0.795513489,Male
18.05,22.57899848,0.072669188,0.794239474,Male
18.06,22.58412042,0.072662544,0.792965435,Male
18.07,22.58923044,0.072655902,0.791691369,Male
18.08,22.59432854,0.072649261,0.790417277,Male
18.09,22.59941475,0.072642621,0.789143158,Male
18.1,22.60448908,0.072635983,0.78786901,Male
18.11,22.60955155,0.072629347,0.786594833,Male
18.12,22.61460217,0.072622712,0.785320625,Male
18.13,22.61964096,0.072616079,0.784046387,Male
18.14,22.62466794,0.072609447,0.782772116,Male
18.15,22.62968313,0.072602816,0.781497813,Male
18.16,22.63468653,0.072596187,0.780223476,Male
18.17,22.63967818,0.07258956,0.778949104,Male
18.18,22.64465807,0.072582933,0.777674697,Male
18.19,22.64962623,0.072576309,0.776400253,Male
18.2,22.65458268,0.072569686,0.775125772,Male
18.21,22.65952743,0.072563064,0.773851253,Male
18.22,22.66446051,0.072556444,0.772576695,Male
18.23,22.66938195,0.072549825,0.771302097,Male
18.24,22.6742918,0.072543208,0.770027458,Male
18.25,22.6791901,0.072536593,0.768752778,Male
18.26,22.6840769,0.072529978,0.767478056,Male
18.27,22.68895224,0.072523366,0.76620329,Male
18.28,22.69381619,0.072516754,0.76492848,Male
18.29,22.6986688,0.072510145,0.763653626,Male
18.3,22.70351014,0.072503536,0.762378725,Male
18.31,22.70834026,0.072496929,0.761103778,Male
18.32,22.71315922,0.072490324,0.759828783,Male
18.33,22.71796708,0.07248372,0.75855374,Male
18.34,22.7227639,0.072477118,0.757278647,Male
18.35,22.72754973,0.072470517,0.756003505,Male
18.36,22.73232464,0.072463917,0.754728311,Male
18.37,22.73708868,0.072457319,0.753453066,Male
18.38,22.74184192,0.072450722,0.752177768,Male
18.39,22.7465844,0.072444127,0.750902417,Male
18.4,22.75131619,0.072437533,0.749627011,Male
18.41,22.75603735,0.072430941,0.74835155,Male
18.42,22.76074793,0.07242435,0.747076034,Male
18.43,22.76544799,0.072417761,0.74580046,Male
18.44,22.77013759,0.072411173,0.744524829,Male
18.45,22.77481678,0.072404587,0.74324914,Male
18.46,22.77948562,0.072398002,0.741973391,Male
18.47,22.78414415,0.072391418,0.740697582,Male
18.48,22.78879239,0.072384836,0.739421712,Male
18.49,22.7934304,0.072378256,0.73814578,Male
18.5,22.79805819,0.072371677,0.736869785,Male
18.51,22.8026758,0.072365099,0.735593726,Male
18.52,22.80728327,0.072358523,0.734317602,Male
18.53,22.81188062,0.072351948,0.733041413,Male
18.54,22.8164679,0.072345375,0.731765158,Male
18.55,22.82104514,0.072338803,0.730488835,Male
18.56,22.82561237,0.072332232,0.729212444,Male
18.57,22.83016962,0.072325663,0.727935983,Male
18.58,22.83471693,0.072319096,0.726659453,Male
18.59,22.83925434,0.07231253,0.725382851,Male
18.6,22.84378186,0.072305965,0.724106178,Male
18.61,22.84829954,0.072299402,0.722829432,Male
18.62,22.85280742,0.07229284,0.721552613,Male
18.63,22.85730551,0.07228628,0.720275719,Male
18.64,22.86179387,0.072279721,0.71899875,Male
18.65,22.86627251,0.072273163,0.717721704,Male
18.66,22.87074148,0.072266607,0.716444582,Male
18.67,22.8752008,0.072260052,0.715167381,Male
18.68,22.87965051,0.072253499,0.713890102,Male
18.69,22.88409064,0.072246948,0.712612743,Male
18.7,22.88852123,0.072240397,0.711335304,Male
18.71,22.8929423,0.072233848,0.710057783,Male
18.72,22.89735389,0.072227301,0.70878018,Male
18.73,22.90175603,0.072220755,0.707502493,Male
18.74,22.90614875,0.07221421,0.706224723,Male
18.75,22.91053209,0.072207667,0.704946868,Male
18.76,22.91490608,0.072201126,0.703668927,Male
18.77,22.91927075,0.072194585,0.7023909,Male
18.78,22.92362614,0.072188046,0.701112785,Male
18.79,22.92797226,0.072181509,0.699834582,Male
18.8,22.93230917,0.072174973,0.698556291,Male
18.81,22.93663688,0.072168438,0.697277909,Male
18.82,22.94095544,0.072161905,0.695999436,Male
18.83,22.94526487,0.072155373,0.694720872,Male
18.84,22.94956519,0.072148843,0.693442215,Male
18.85,22.95385639,0.072142314,0.692163467,Male
18.86,22.95813844,0.072135787,0.690884628,Male
18.87,22.96241132,0.072129261,0.689605698,Male
18.88,22.96667501,0.072122736,0.688326679,Male
18.89,22.97092947,0.072116213,0.68704757,Male
18.9,22.97517469,0.072109691,0.685768374,Male
18.91,22.97941063,0.072103171,0.684489089,Male
18.92,22.98363728,0.072096652,0.683209718,Male
18.93,22.9878546,0.072090134,0.68193026,Male
18.94,22.99206258,0.072083618,0.680650717,Male
18.95,22.99626118,0.072077103,0.679371089,Male
18.96,23.00045039,0.07207059,0.678091376,Male
18.97,23.00463018,0.072064078,0.67681158,Male
18.98,23.00880052,0.072057568,0.675531701,Male
18.99,23.01296139,0.072051059,0.67425174,Male
19,23.01711277,0.072044552,0.672971697,Male
19.01,23.02125462,0.072038046,0.671691573,Male
19.02,23.02538693,0.072031541,0.670411369,Male
19.03,23.02950968,0.072025038,0.669131085,Male
19.04,23.03362283,0.072018536,0.667850723,Male
19.05,23.03772637,0.072012036,0.666570282,Male
19.06,23.04182026,0.072005537,0.665289763,Male
19.07,23.04590449,0.07199904,0.664009167,Male
19.08,23.04997903,0.071992544,0.662728495,Male
19.09,23.05404386,0.071986049,0.661447748,Male
19.1,23.05809895,0.071979556,0.660166925,Male
19.11,23.06214427,0.071973064,0.658886028,Male
19.12,23.06617982,0.071966574,0.657605058,Male
19.13,23.07020555,0.071960085,0.656324014,Male
19.14,23.07422146,0.071953598,0.655042898,Male
19.15,23.0782275,0.071947112,0.65376171,Male
19.16,23.08222367,0.071940628,0.652480451,Male
19.17,23.08620993,0.071934145,0.651199121,Male
19.18,23.09018627,0.071927663,0.649917722,Male
19.19,23.09415266,0.071921183,0.648636253,Male
19.2,23.09810907,0.071914705,0.647354716,Male
19.21,23.10205548,0.071908228,0.646073111,Male
19.22,23.10599188,0.071901752,0.644791439,Male
19.23,23.10991823,0.071895278,0.6435097,Male
19.24,23.11383452,0.071888805,0.642227895,Male
19.25,23.11774071,0.071882334,0.640946024,Male
19.26,23.12163679,0.071875864,0.639664089,Male
19.27,23.12552274,0.071869395,0.63838209,Male
19.28,23.12939852,0.071862928,0.637100027,Male
19.29,23.13326413,0.071856463,0.635817902,Male
19.3,23.13711959,0.071849999,0.634535714,Male
19.31,23.14096491,0.071843536,0.633253465,Male
19.32,23.14480013,0.071837075,0.631971156,Male
19.33,23.14862526,0.071830615,0.630688786,Male
19.34,23.15244034,0.071824157,0.629406357,Male
19.35,23.15624539,0.0718177,0.62812387,Male
19.36,23.16004044,0.071811245,0.626841325,Male
19.37,23.1638255,0.071804791,0.625558724,Male
19.38,23.1676006,0.071798339,0.624276065,Male
19.39,23.17136577,0.071791888,0.622993352,Male
19.4,23.17512104,0.071785439,0.621710583,Male
19.41,23.17886642,0.071778991,0.620427761,Male
19.42,23.18260195,0.071772544,0.619144885,Male
19.43,23.18632764,0.071766099,0.617861956,Male
19.44,23.19004353,0.071759656,0.616578975,Male
19.45,23.19374963,0.071753214,0.615295944,Male
19.46,23.19744597,0.071746773,0.614012861,Male
19.47,23.20113258,0.071740334,0.612729729,Male
19.48,23.20480948,0.071733896,0.611446548,Male
19.49,23.20847669,0.07172746,0.610163318,Male
19.5,23.21213424,0.071721025,0.608880041,Male
19.51,23.21578215,0.071714592,0.607596716,Male
19.52,23.21942045,0.07170816,0.606313345,Male
19.53,23.22304916,0.07170173,0.605029929,Male
19.54,23.2266683,0.071695301,0.603746468,Male
19.55,23.23027791,0.071688874,0.602462963,Male
19.56,23.233878,0.071682448,0.601179414,Male
19.57,23.23746859,0.071676024,0.599895823,Male
19.58,23.24104972,0.071669601,0.598612189,Male
19.59,23.2446214,0.07166318,0.597328514,Male
19.6,23.24818366,0.07165676,0.596044798,Male
19.61,23.25173653,0.071650341,0.594761043,Male
19.62,23.25528002,0.071643925,0.593477248,Male
19.63,23.25881416,0.071637509,0.592193414,Male
19.64,23.26233898,0.071631095,0.590909543,Male
19.65,23.2658545,0.071624683,0.589625634,Male
19.66,23.26936074,0.071618272,0.588341689,Male
19.67,23.27285773,0.071611862,0.587057708,Male
19.68,23.2763455,0.071605454,0.585773691,Male
19.69,23.27982409,0.071599048,0.584489641,Male
19.7,23.28329352,0.071592643,0.583205557,Male
19.71,23.28675382,0.071586239,0.58192144,Male
19.72,23.29020504,0.071579837,0.580637291,Male
19.73,23.29364721,0.071573437,0.57935311,Male
19.74,23.29708037,0.071567038,0.578068899,Male
19.75,23.30050459,0.07156064,0.576784658,Male
19.76,23.30391989,0.071554244,0.575500389,Male
19.77,23.30732633,0.071547849,0.574216092,Male
19.78,23.31072397,0.071541456,0.572931767,Male
19.79,23.31411283,0.071535065,0.571647416,Male
19.8,23.31749298,0.071528675,0.57036304,Male
19.81,23.32086445,0.071522286,0.569078638,Male
19.82,23.32422729,0.071515899,0.567794213,Male
19.83,23.32758156,0.071509513,0.566509765,Male
19.84,23.33092729,0.071503129,0.565225295,Male
19.85,23.33426453,0.071496746,0.563940804,Male
19.86,23.33759333,0.071490365,0.562656292,Male
19.87,23.34091374,0.071483986,0.56137176,Male
19.88,23.3442258,0.071477608,0.560087209,Male
19.89,23.34752955,0.071471231,0.55880264,Male
19.9,23.35082505,0.071464856,0.557518054,Male
19.91,23.35411234,0.071458482,0.556233452,Male
19.92,23.35739146,0.07145211,0.554948833,Male
19.93,23.36066246,0.071445739,0.5536642,Male
19.94,23.36392539,0.07143937,0.552379553,Male
19.95,23.36718028,0.071433002,0.551094893,Male
19.96,23.3704272,0.071426636,0.54981022,Male
19.97,23.37366617,0.071420271,0.548525535,Male
19.98,23.37689726,0.071413908,0.54724084,Male
19.99,23.3801205,0.071407546,0.545956135,Male
20,23.38333597,0.071401186,0.54467142,Male
20.01,23.38654374,0.071394827,0.543386697,Male
20.02,23.38974391,0.07138847,0.542101965,Male
20.03,23.39293653,0.071382114,0.540817227,Male
20.04,23.39612168,0.07137576,0.539532482,Male
20.05,23.39929944,0.071369407,0.538247731,Male
20.06,23.4024699,0.071363055,0.536962975,Male
20.07,23.40563315,0.071356706,0.535678215,Male
20.08,23.40878928,0.071350357,0.534393451,Male
20.09,23.41193837,0.07134401,0.533108685,Male
20.1,23.41508053,0.071337665,0.531823917,Male
20.11,23.41821584,0.071331321,0.530539147,Male
20.12,23.42134439,0.071324979,0.529254377,Male
20.13,23.42446626,0.071318638,0.527969607,Male
20.14,23.42758156,0.071312298,0.526684839,Male
20.15,23.43069036,0.071305961,0.525400072,Male
20.16,23.43379277,0.071299624,0.524115308,Male
